Class,CNN_Accuracy,LSTM_Accuracy,Difference,Best_Model
Class 0,0.9411764705882353,0.9359243697478992,-0.005252100840336116,CNN
Class 1,0.9314917127071823,0.24530386740331492,-0.6861878453038674,CNN
Class 2,0.9743842364532019,0.16748768472906403,-0.8068965517241379,CNN
Class 3,0.9492979719188768,0.9266770670826833,-0.0226209048361935,CNN
Class 4,0.9902912621359223,0.37087378640776697,-0.6194174757281554,CNN
Class 5,0.9960435212660732,0.7804154302670623,-0.21562809099901092,CNN
Class 6,0.9931740614334471,0.29948805460750855,-0.6936860068259385,CNN
Class 7,0.8982758620689655,0.5465517241379311,-0.3517241379310344,CNN
Class 8,0.9337349397590361,0.4738955823293173,-0.4598393574297188,CNN
Class 9,0.9555555555555556,0.7933333333333333,-0.16222222222222227,CNN
Class 10,0.9757477768795473,0.6321746160064673,-0.34357316087308,CNN
Class 11,0.9909297052154195,0.5963718820861678,-0.3945578231292517,CNN
